market_cap_rank,corp_name,market_cap
379,인피니트헬스케어,2025.0
380,KBI메탈,2016.0
381,슈어소프트테크,2013.0
382,덕산테코피아,2009.0
383,큐라클,1985.0
384,베뉴지,1983.0
385,상신이디피,1981.0
386,제닉,1968.0
387,해성산업,1967.0
388,동원개발,1966.0
389,갤럭시아머니트리,1961.0
390,석경에이티,1953.0
391,금화피에스시,1950.0
392,그래피,1926.0
393,에이팩트,1915.0
394,티이엠씨,1903.0
395,KZ정밀,1898.0
396,나무가,1883.0
397,네오위즈홀딩스,1881.0
398,현대사료,1873.0
399,드림시큐리티,1872.0
400,티씨머티리얼즈,1871.0
401,엑시콘,1871.0
402,셀바스AI,1868.0
403,씨메스로보틱스,1864.0
404,마이크로컨텍솔,1858.0
405,아스플로,1858.0
406,슈피겐코리아,1856.0
407,유니테스트,1851.0
408,우리로,1847.0
409,메가터치,1844.0
410,클리오,1823.0
411,와이씨켐,1822.0
412,쿠콘,1821.0
413,DMS,1817.0
414,티엑스알로보틱스,1814.0
415,BGF에코머티리얼즈,1808.0
416,쓰리빌리언,1808.0
417,아이티엠반도체,1792.0
418,헥토이노베이션,1784.0
419,그린광학,1782.0
420,도우인시스,1778.0
421,이랜텍,1773.0
422,사람인,1770.0
423,대아티아이,1765.0
424,앤로보틱스,1755.0
425,퓨쳐켐,1754.0
426,국보디자인,1748.0
427,엠로,1744.0
428,심텍홀딩스,1735.0
429,한국정보인증,1735.0
430,코메론,1719.0
431,HB테크놀러지,1718.0
432,메디아나,1715.0
433,이크레더블,1713.0
434,지놈앤컴퍼니,1708.0
435,아이엘,1707.0
436,아이디스,1707.0
437,스트라드비젼,1704.0
438,일진파워,1699.0
439,대양전기공업,1694.0
440,나우로보틱스,1685.0
441,대화제약,1675.0
442,디오,1673.0
443,바이오니아,1672.0
444,EDGC,1671.0
445,모베이스전자,1659.0
446,카나프테라퓨틱스,1653.0
447,레드캡투어,1650.0
448,나이벡,1649.0
449,신흥에스이씨,1648.0
450,한국비엔씨,1648.0
451,신성에스티,1637.0
452,바이오솔루션,1631.0
453,빅솔론,1628.0
454,모두투어,1625.0
455,인터로조,1622.0
456,안트로젠,1621.0
457,셀비온,1621.0
458,잉글우드랩,1619.0
459,와이솔,1617.0
460,에이치엠넥스,1605.0
461,유성티엔에스,1601.0
462,티쓰리,1599.0
463,버킷스튜디오,1596.0
464,알멕,1595.0
465,코다코,1592.0
466,제테마,1588.0
467,코스맥스엔비티,1580.0
468,엠아이텍,1576.0
469,동양이엔피,1576.0
470,디바이스,1574.0
471,대한약품,1563.0
472,오르비텍,1557.0
473,HLB테라퓨틱스,1555.0
474,인터플렉스,1549.0
475,제일일렉트릭,1547.0
476,에브리봇,1542.0
477,메가스터디,1541.0
478,더핑크퐁컴퍼니,1538.0
479,와이엠티,1538.0
480,헬릭스미스,1530.0
481,경동제약,1529.0
482,아이디스홀딩스,1527.0
483,SM C&C,1526.0
484,아바코,1521.0
485,GC메디아이,1508.0
486,비엠티,1508.0
487,크레오에스지,1505.0
488,안국약품,1504.0
489,푸른저축은행,1499.0
490,KG파이낸셜,1488.0
491,이수앱지스,1486.0
492,코리아에프티,1478.0
493,파세코,1478.0
494,오로스테크놀로지,1477.0
495,삼미금속,1461.0
496,멀티캠퍼스,1461.0
497,아나패스,1461.0
498,네오오토,1458.0
499,나노엔텍,1451.0
500,녹십자웰빙,1448.0
501,우양에이치씨,1442.0
502,매일홀딩스,1442.0
503,와이바이오로직스,1435.0
504,쎌바이오텍,1433.0
505,비보존 제약,1427.0
506,디엔에프,1427.0
507,에스앤디,1426.0
508,유비쿼스홀딩스,1426.0
509,폴라리스오피스,1426.0
510,범한퓨얼셀,1425.0
511,재영솔루텍,1421.0
512,에스오에스랩,1421.0
513,엘오티베큠,1418.0
514,티케이케미칼,1411.0
515,인선이엔티,1410.0
516,애니플러스,1409.0
517,하이비젼시스템,1409.0
518,신화프리텍,1406.0
519,피델릭스,1397.0
520,이랜시스,1395.0
521,솔트룩스,1394.0
522,고려신용정보,1391.0
523,텔레칩스,1390.0
524,아이패밀리에스씨,1390.0
525,유비쿼스,1387.0
526,우진엔텍,1384.0
527,현대이지웰,1382.0
528,삼보판지,1374.0
529,더즌,1371.0
530,에스텍,1370.0
531,프레스티지바이오로직스,1365.0
532,코난테크놀로지,1364.0
533,화신정공,1353.0
534,선광,1353.0
535,시너지이노베이션,1348.0
536,자람테크놀로지,1344.0
537,바이오비쥬,1343.0
538,제이엘케이,1338.0
539,아가방컴퍼니,1337.0
540,에이스테크,1334.0
541,압타바이오,1322.0
542,시스웍,1321.0
543,아이텍,1319.0
544,SG,1317.0
545,지앤비에스 에코,1315.0
546,코스텍시스,1312.0
547,지투파워,1312.0
548,동국산업,1307.0
549,아이비김영,1306.0
